% time	cellId	IMSI	RNTI	sinrLinear
0.748	2	6	28	5674.8
0.755	2	10	35	5144.54
0.761	2	2	1	23.6399
0.761	4	26	1	2.08081
0.761	1	47	1	12.0925
0.762	4	23	2	9.07106
0.762	1	39	2	37.3229
0.763	2	4	3	17.7009
0.763	3	20	3	6.21639
0.763	4	25	3	4.68889
0.763	1	49	3	0.113784
0.764	3	15	4	7.11981
0.764	1	31	4	0.260233
0.765	2	1	5	13.4001
0.765	4	28	5	29.8148
0.765	1	36	5	4.08836
0.766	2	3	6	14.0912
0.766	4	29	6	0.695461
0.766	1	45	6	0.557638
0.767	2	7	7	6.82705
0.767	3	14	7	5.38698
0.767	4	24	7	4.73602
0.767	1	43	7	0.411331
0.768	2	8	8	26.8666
0.768	4	22	8	5.52055
0.768	1	38	8	0.708593
0.769	2	9	9	13.8474
0.769	3	13	9	1.72094
0.769	4	27	9	1.33634
0.769	1	42	9	0.234911
0.77	3	12	10	10.7062
0.77	1	46	10	0.649684
0.771	1	41	11	1443.96
0.772	4	21	12	3.09126
0.772	1	33	12	57.102
0.773	1	40	13	959.138
0.774	1	44	14	2206.65
0.775	1	32	15	4574.85
0.776	1	34	16	693.171
0.777	1	50	17	721.747
0.778	1	35	18	1264.19
0.779	1	48	19	924.599
0.78	1	37	20	45272.7
0.781	1	5	21	2598.87
0.782	1	11	22	1351.74
0.783	1	16	23	1346.8
0.784	1	17	24	16599.1
0.785	1	18	25	1.01037
0.785	4	30	25	0.344967
0.786	1	19	26	18037
0.788	2	6	28	5705.11
0.795	2	10	35	5157.65
0.801	2	2	1	23.809
0.801	4	26	1	2.07047
0.801	1	47	1	11.9242
0.802	4	23	2	9.04199
0.802	1	39	2	37.2481
0.803	2	4	3	17.7145
0.803	3	20	3	6.20425
0.803	4	25	3	4.73725
0.803	1	49	3	0.113937
0.804	3	15	4	7.00587
0.804	1	31	4	0.26041
0.805	2	1	5	13.2117
0.805	4	28	5	29.5134
0.805	1	36	5	4.11337
0.806	2	3	6	13.9601
0.806	4	29	6	0.688714
0.806	1	45	6	0.559877
